italian,dante
Lì una cornice circonda il monte come la prima,"Ivi così una cornice lega dintorno il poggio, come la primaia"
Salvo che la sua circonferenza è minore,Se non che l’arco suo più tosto piega
"Lì non c'è alcuna immagine, né alcuna scultura: la parete del monte e la strada sono lisce, del colore livido della pietra",Ombra non lì è né segno che si paia: parsi la ripa e parsi la via schietta col livido color de la petraia
Il poeta rifletteva:,Ragionava il poeta:
"Se qui aspettiamo qualcuno per domandare, temo che forse la nostra scelta ci farà indugiare troppo","Se qui per dimandar gente s’aspetta, io temo forse che troppo avrà d’indugio nostra eletta"
Poi guardò con fissità il sole,Poi fisamente al sole li occhi porse
Fece perno sul piede destro e torse il lato sinistro del suo corpo,"Fece del destro lato a muover centro, e la sinistra parte di sé torse"
Diceva:,Dicea:
"O dolce lume, confidando nel quale io intraprendo il nuovo cammino, tu ci guidi come si deve fare in questo luogo","O dolce lume a cui fidanza i’ entro per lo novo cammin, tu ne conduci come condur si vuol quinc’entro"
Tu scaldi il mondo e lo illumini,"Tu scaldi il mondo, tu sovr’esso luci"
"Se non c'è una ragione apertamente contraria, i tuoi raggi devono sempre essere guida","S’altra ragione in contrario non ponta, esser dien sempre li tuoi raggi duci"
"Noi ci eravamo mossi di là tanto quanto corrisponde qui sulla terra un miglio, in breve tempo per l'ardente desiderio","Quanto di qua per un migliaio si conta, tanto di là eravam noi già iti, con poco tempo, per la voglia pronta"
"Ed ecco che sentimmo, senza vederli, degli spiriti che volavano e rivolgevano cortesi inviti alla mensa della carità","E verso noi volar furon sentiti, non però visti, spiriti parlando a la mensa d’amor cortesi inviti"
"La prima voce che passò volando, disse gridando: 'non hanno vino', e l'andò ripetendo dietro di noi","La prima voce che passò volando ‘vinum non habent’ altamente disse, e dietro a noi l’andò reiterando"
"E prima che svanisse del tutto per la distanza, un'altra passò gridando: 'io sono oreste', e anche questa non si fermò","E prima che del tutto non si udisse per allungarsi, un’altra ‘i’ sono oreste’ passò gridando, e anco non s’affisse"
Io dissi:,Diss’io:
"Padre, che voci sono queste","Padre, che voci son queste"
"E non appena domandai, ecco la terza che diceva: 'amate coloro che vi hanno fatto del male'","E com’io domandai, ecco la terza dicendo: ‘amate da cui male aveste’"
E il buon maestro disse:,E ‘l buon maestro:
"Questa cornice punisce il peccato di invidia, e perciò le corde della sferza sono tratte dall'amore","Questo cinghio sferza la colpa de la invidia, e però sono tratte d’amor le corde de la ferza"
Il freno sarà invece di segno contrario,Lo fren vuol esser del contrario suono
Credo che li sentirai prima di giungere al passaggio del perdono,"Credo che l’udirai, per mio avviso, prima che giunghi al passo del perdono"
"Ma spingi lo sguardo con attenzione nell'aria e vedrai anime che si siedono davanti a noi, ciascuna appoggiata lungo la parete","Ma ficca li occhi per l’aere ben fiso, e vedrai gente innanzi a noi sedersi, e ciascuno è lungo la grotta assiso"
Allora aprii gli occhi più di prima,Allora più che prima li occhi apersi
Mi guardai di fronte e vidi delle anime che indossavano mantelli di colore simile alla pietra,"Guarda’mi innanzi, e vidi ombre con manti al color de la pietra non diversi"
"E quando fummo avanzati un poco, sentivo gridare: 'maria, prega per noi': e poi 'michele', 'pietro' e 'tutti i santi'","E poi che fummo un poco più avanti, udia gridar: ‘maria, òra per noi’: gridar ‘michele’ e ‘pietro’, e ‘tutti santi’"
Non credo che in terra ci sia un uomo così crudele da non provare compassione per quello che poi vidi,"Non credo che per terra vada ancoi omo sì duro, che non fosse punto per compassion di quel ch’i’ vidi poi"
"Infatti, quando fui giunto vicino a quelle anime tanto da vedere bene i loro gesti, versai lacrime di dolore dai miei occhi","Ché, quando fui sì presso di lor giunto, che li atti loro a me venivan certi, per li occhi fui di grave dolor munto"
"Mi sembravano coperti di un vile cilicio, e l'uno sosteneva l'altro con la spalla, e tutti erano appoggiati alla parete del monte","Di vil ciliccio mi parean coperti, e l’un sofferia l’altro con la spalla, e tutti da la ripa eran sofferti"
"Così i ciechi, privi del sostentamento, stanno davanti alle chiese nei giorni di indulgenze a chiedere l'elemosina, e l'uno sostiene il capo dell'altro, per suscitare presto la pietà altrui, non solo col suono delle parole ma anche con la vista che provoca non minor compassione","Così li ciechi a cui la roba falla stanno a’ perdoni a chieder lor bisogna, e l’uno il capo sopra l’altro avvalla,  perché ‘n altrui pietà tosto si pogna, non pur per lo sonar de le parole, ma per la vista che non meno agogna"
"E come ai ciechi non arriva la luce del sole, così a quelle anime nella cornice, di cui sto parlando, il cielo non vuole concedere la sua luce","E come a li orbi non approda il sole, così a l’ombre quivi, ond’io parlo ora, luce del ciel di sé largir non vole"
"Infatti un fil di ferro trapassa a tutti loro le ciglia e le cuce, proprio come si fa a uno sparviero selvaggio quando non è tranquillo","Ché a tutti un fil di ferro i cigli fóra e cusce sì, come a sparvier selvaggio si fa però che queto non dimora"
"A me sembrava, camminando, di commettere un oltraggio vedendo gli altri e non essendo visto: allora mi rivolsi al mio saggio consigliere","A me pareva, andando, fare oltraggio, veggendo altrui, non essendo veduto: per ch’io mi volsi al mio consiglio saggio"
"Egli sapeva bene cosa volessi dire, anche se non parlavo",Ben sapev’ei che volea dir lo muto
"Quindi non attese la mia domanda, ma disse:","E però non attese mia dimanda, ma disse:"
"Parla, e sii breve e conciso","Parla, e sie breve e arguto"
"Virgilio era accanto a me, dal lato della cornice dal quale si può cadere nel vuoto, perché non c'è nessun argine","Virgilio mi venìa da quella banda de la cornice onde cader si puote, perché da nulla sponda s’inghirlanda"
"Dall'altra parte stavano le devote anime, che facevano uscire le lacrime attraverso l'orribile cucitura, bagnando le guance","Da l’altra parte m’eran le divote ombre, che per l’orribile costura premevan sì, che bagnavan le gote"
Mi rivolsi a loro e iniziai:,Volsimi a loro e incominciai:
"O anime sicure di vedere l'alta luce che è il solo oggetto del vostro desiderio, possa la grazia eliminare presto le schiume della vostra coscienza, così che il fiume della memoria scenda da essa con acque limpide","O gente sicura di veder l’alto lume che ‘l disio vostro solo ha in sua cura,  se tosto grazia resolva le schiume di vostra coscienza sì che chiaro per essa scenda de la mente il fiume"
"Ditemi, perché mi sarà molto gradito, se tra voi c'è un'anima che sia italiana","Ditemi, ché mi fia grazioso e caro, s’anima è qui tra voi che sia latina"
E forse le sarà utile se io lo apprendo,E forse lei sarà buon s’i’ l’apparo
"O fratello mio, ciascuna di noi è cittadina di una vera città","O frate mio, ciascuna è cittadina d’una vera città"
Ma tu vuoi dire che vivesse come straniera in italia,Ma tu vuo’ dire che vivesse in italia peregrina
"Questo mi sembrò di udire come risposta, un po' più avanti rispetto a dove mi trovavo, per cui mi feci sentire ancora più vicino","Questo mi parve per risposta udire più innanzi alquanto che là dov’io stava, ond’io mi feci ancor più là sentire"
Tra le altre ombre ne vidi una che aveva l'aria di aspettare,Tra l’altre vidi un’ombra ch’aspettava in vista
E se qualcuno volesse chiedere 'come,E se volesse alcun dir ‘come
Sappia che alzava il mento come fanno i ciechi,Lo mento a guisa d’orbo in sù levava
Io dissi:,Diss’io:
"Spirito, che per salire il monte ti mortifichi, se tu sei quello che mi hai risposto, manifestati dicendo il luogo da dove vieni o il tuo nome","Spirto, che per salir ti dome, se tu se’ quelli che mi rispondesti, fammiti conto o per luogo o per nome"
Rispose:,Rispuose:
"Io fui senese, e purifico la mia vita peccaminosa con questi altri, piangendo verso colui perché si presti a noi","Io fui sanese, e con questi altri rimendo qui la vita ria, lagrimando a colui che sé ne presti"
"Non fui saggia, benché fossi chiamata sapìa, e fui molto più lieta delle sventure altrui che della mia fortuna","Savia non fui, avvegna che sapìa fossi chiamata, e fui de li altrui danni più lieta assai che di ventura mia"
"E perché tu non creda che ti sto ingannando, senti se fui folle, come io ti dico, quando ormai ero nella fase finale della mia vita","E perché tu non creda ch’io t’inganni, odi s’i’ fui, com’io ti dico, folle, già discendendo l’arco d’i miei anni"
"I miei concittadini erano giunti in battaglia coi loro nemici presso a colle val d'elsa, e io pregavo dio di ciò che poi volle","Eran li cittadin miei presso a colle in campo giunti co’ loro avversari, e io pregava iddio di quel ch’e’ volle"
Qui i senesi furono sconfitti e costretti a un'amara fuga,Rotti fuor quivi e vòlti ne li amari passi di fuga
"E vedendo quella rotta, provai una gioia superiore a qualunque altra, tanto che volsi al cielo la faccia ardita, gridando a dio: ""ormai non ti temo più","E veggendo la caccia, letizia presi a tutte altre dispari,  tanto ch’io volsi in sù l’ardita faccia, gridando a dio: ""omai più non ti temo"
Come fece il merlo per un breve giorno di sole,Come fé ‘l merlo per poca bonaccia
Chiesi perdono a dio alla fine dei miei giorni,Pace volli con dio in su lo stremo de la mia vita
"E il mio dovere di fare penitenza sarebbe ancora tutto intero, se non fosse per pier pettinaio che si ricordò di me nelle sue sante preghiere, e al quale rincrebbe di me per la sua carità","E ancor non sarebbe lo mio dover per penitenza scemo,  se ciò non fosse, ch’a memoria m’ebbe pier pettinaio in sue sante orazioni, a cui di me per caritate increbbe"
"Ma tu chi sei, che domandi della nostra condizione e hai gli occhi liberi, come io credo, e parli respirando","Ma tu chi se’, che nostre condizioni vai dimandando, e porti li occhi sciolti, sì com’io credo, e spirando ragioni"
Io dissi:,Diss’io:
"Gli occhi mi saranno cuciti in questa cornice, ma per poco tempo, poiché ho peccato lievemente volgendoli con invidia","Li occhi mi fieno ancor qui tolti, ma picciol tempo, ché poca è l’offesa fatta per esser con invidia vòlti"
"La mia anima ha molta più paura del tormento della cornice sottostante, tanto che il carico del macigno di laggiù già pesa sulle mie spalle","Troppa è più la paura ond’è sospesa l’anima mia del tormento di sotto, che già lo ‘ncarco di là giù mi pesa"
E lei a me:,Ed ella a me:
"Dunque chi ti ha guidato quassù tra noi, visto che credi di tornare sulla terra","Chi t’ha dunque condotto qua sù tra noi, se giù ritornar credi"
E io:,E io:
"Questi, che è con me e resta in silenzio",Costui ch’è meco e non fa motto
E sono in vita,E vivo sono
"Perciò, spirito eletto, chiedimi se vuoi che io, sulla terra, muova per te i miei piedi mortali","E però mi richiedi, spirito eletto, se tu vuo’ ch’i’ mova di là per te ancor li mortai piedi"
"Oh, questa è una novità tale che è un segno dell'amore che dio ha per te","Oh, questa è a udir sì cosa nuova che gran segno è che dio t’ami"
"Perciò, talvolta, ricordami nelle tue preghiere",Però col priego tuo talor mi giova
"E ti chiedo, in nome di ciò che tu desideri di più, se mai andrai in toscana, che tu ripari la mia reputazione presso i miei congiunti","E cheggioti, per quel che tu più brami, se mai calchi la terra di toscana, che a’ miei propinqui tu ben mi rinfami"
"Li troverai tra quel popolo vanesio, che spera in talamone e vi perderà più soldi che nella speranza di trovare il fiume della diana","Tu li vedrai tra quella gente vana che spera in talamone, e perderagli più di speranza ch’a trovar la diana"
Ma a perderci di più saranno gli appaltatori,Ma più vi perderanno li ammiragli
"Chi è costui che sale lungo il nostro monte prima di essere morto, e apre e chiude gli occhi a suo piacimento","Chi è costui che ‘l nostro monte cerchia prima che morte li abbia dato il volo, e apre li occhi a sua voglia e coverchia"
"Non so chi sia, ma so che non è da solo: chiediglielo tu che gli sei più vicino, e acccoglilo cortesemente, così da indurlo a parlare","Non so chi sia, ma so ch’e’ non è solo: domandal tu che più li t’avvicini, e dolcemente, sì che parli, acco’lo"
"Così due spiriti, chinati l'uno verso l'altro, parlavano di me alla mia destra","Così due spirti, l’uno a l’altro chini, ragionavan di me ivi a man dritta"
"Poi alzarono i volti, come per parlarmi","Poi fer li visi, per dirmi, supini"
E uno di loro disse:,E disse l’uno:
"O anima che te ne vai verso il cielo quando ancora sei dentro il corpo, in nome della carità consolaci e dicci da dove vieni e chi sei","O anima che fitta nel corpo ancora inver’ lo ciel ten vai, per carità ne consola e ne ditta onde vieni e chi se’"
"Infatti, con la grazia di cui sei oggetto ci fai stupire di una cosa che non è mai avvenuta","Ché tu ne fai tanto maravigliar de la tua grazia, quanto vuol cosa che non fu più mai"
E io:,E io:
"Nella parte centrale della toscana scorre un piccolo fiume che nasce dal falterona, e il suo corso si estende per più di cento miglia","Per mezza toscana si spazia un fiumicel che nasce in falterona, e cento miglia di corso nol sazia"
"Io vengo dalla sua valle: se vi dicessi il mio nome parlerei vanamente, perché esso non è ancora molto famoso","Di sovr’esso rech’io questa persona: dirvi ch’i’ sia, saria parlare indarno, ché ‘l nome mio ancor molto non suona"
Quello che parlava prima mi disse:,Allora mi rispuose quei che diceva pria:
"Se il mio intelletto comprende bene ciò che vuoi dire, tu parli del fiume arno","Se ben lo ‘ntendimento tuo accarno con lo ‘ntelletto, tu parli d’arno"
E l'altro chiese:,E l’altro disse lui:
"Perché ha omesso di pronunciare il nome di quel fiume, come si fa con le cose orribili","Perché nascose questi il vocabol di quella riviera, pur com’om fa de l’orribili cose"
L'anima cui fu domandato questo rispose così:,"E l’ombra che di ciò domandata era, si sdebitò così:"
"Non lo so, ma certo è giusto che il nome di quella valle scompaia","Non so, ma degno ben è che ‘l nome di tal valle pèra"
"Infatti dalla sorgente di quel fiume, dove l'appennino che è separato dal peloro è tanto massiccio che in pochi altri punti lo è di più, fino alla foce dove restituisce al mare l'acqua che da esso evapora e alimenta il fiume attraverso piogge e nevi, tutti fuggono la virtù come una biscia, o per sfortuna del luogo o per una cattiva abitudine che li induce a questo","Ché dal principio suo, ov’è sì pregno l’alpestro monte ond’è tronco peloro, che ‘n pochi luoghi passa oltra quel segno, infin là ‘ve si rende per ristoro di quel che ‘l ciel de la marina asciuga, ond’hanno i fiumi ciò che va con loro, vertù così per nimica si fuga da tutti come biscia, o per sventura del luogo, o per mal uso che li fruga"
"La valle dell'arno indirizza dapprima il suo piccolo corso tra sudici porci, più degni di mangiare ghiande che altro cibo per gli uomini","Tra brutti porci, più degni di galle che d’altro cibo fatto in uman uso, dirizza prima il suo povero calle"
"Poi, scorrendo verso il basso, trova botoli che ringhiano più di quanto la loro forza consenta, e devia il suo corso disdegnosa da essi","Botoli trova poi, venendo giuso, ringhiosi più che non chiede lor possa, e da lor disdegnosa torce il muso"
"La valle maledetta e sciagurata scende ancora più in basso e quanto più si allarga, tanto più trova cani divenuti dei lupi","Vassi caggendo e quant’ella più ‘ngrossa, tanto più trova di can farsi lupi la maladetta e sventurata fossa"
"Discesa poi in bacini profondi, trova delle volpi così dedite alla frode che non temono alcuna astuzia che possa catturarle","Discesa poi per più pelaghi cupi, trova le volpi sì piene di froda, che non temono ingegno che le occùpi"
E non cesserò di parlare perché qualcuno mi ascolta,Né lascerò di dir perch’altri m’oda
"E sarà vantaggioso per costui, se si rammenterà la verace profezia che sto per fare","E buon sarà costui, s’ancor s’ammenta di ciò che vero spirto mi disnoda"
"Io vedo tuo nipote che diventa cacciatore di quei lupi sulle sponde del feroce fiume, e li terrorizza tutti","Io veggio tuo nepote che diventa cacciator di quei lupi in su la riva del fiero fiume, e tutti li sgomenta"
Vende la loro carne quando sono ancora vivi,Vende la carne loro essendo viva
Poi li uccide come un'antica belva,Poscia li ancide come antica belva
Priva molti della vita e se stesso di onore,Molti di vita e sé di pregio priva
Esce dalla triste selva tutto sporco di sangue,Sanguinoso esce de la trista selva
"La lascia in tale stato, che ci vorranno più di mille anni perché torni alle condizioni iniziali","Lasciala tal, che di qui a mille anni ne lo stato primaio non si rinselva"
"Come all'annuncio di fatti dolorosi il viso di chi ascolta si turba, da qualunque parti lo assalga il pericolo, così io vidi l'altra anima, che ascoltava con attenzione, turbarsi e rattristarsi, dopo che ebbe sentito quelle parole","Com’a l’annunzio di dogliosi danni si turba il viso di colui ch’ascolta, da qual che parte il periglio l’assanni, così vid’io l’altr’anima, che volta stava a udir, turbarsi e farsi trista, poi ch’ebbe la parola a sì raccolta"
"Le parole dell'una e l'aspetto dell'altra mi resero desideroso di sapere i loro nomi, cosa che chiesi con preghiere","Lo dir de l’una e de l’altra la vista mi fer voglioso di saper lor nomi, e dimanda ne fei con prieghi mista"
Allora lo spirito che prima mi aveva parlato ricominciò:,Per che lo spirto che di pria parlòmi ricominciò:
Tu vuoi che io mi induca a fare ciò che tu invece mi neghi,Tu vuo’ ch’io mi deduca nel fare a te ciò che tu far non vuo’mi
"Ma poiché dio vuole che la sua grazia traspaia così tanto attraverso di te, non rifiuterò la tua domanda","Ma da che dio in te vuol che traluca tanto sua grazia, non ti sarò scarso"
Sappi dunque che fui guido del duca,Però sappi ch’io fui guido del duca
"Il mio sangue fu a tal punto roso dall'invidia, che se io avessi visto un uomo allietarsi mi avresti visto diventare livido","Fu il sangue mio d’invidia sì riarso, che se veduto avesse uom farsi lieto, visto m’avresti di livore sparso"
Da quella semente raccolgo questa paglia,Di mia semente cotal paglia mieto
"O gente umana, perché desideri quei beni il cui possesso esclude la condivisione","O gente umana, perché poni ‘l core là ‘v’è mestier di consorte divieto"
"Questi è rinieri, questi è il pregio e l'onore della famiglia da calboli, dove poi nessuno ha raccolto l'eredità del suo valore","Questi è rinier, questi è ‘l pregio e l’onore de la casa da calboli, ove nullo fatto s’è reda poi del suo valore"
"E tra il po, le montagne, il mare adriatico e il reno non è solo la sua stirpe ad aver abbandonato le virtù necessarie al vero e ai piaceri cortesi","E non pur lo suo sangue è fatto brullo, tra ‘l po e ‘l monte e la marina e ‘l reno, del ben richesto al vero e al trastullo"
"Infatti entro questi limiti geografici è pieno di sterpi velenosi, al punto che sarebbe tardi estirparli per coltivare la terra","Ché dentro a questi termini è ripieno di venenosi sterpi, sì che tardi per coltivare omai verrebber meno"
Dove sono il buon lizio e arrigo mainardi,Ov’è ‘l buon lizio e arrigo mainardi
E pier traversaro e guido di carpegna,Pier traversaro e guido di carpigna
"Oh, romagnoli imbastarditi",Oh romagnuoli tornati in bastardi
Quando mai può rinascere a bologna un fabbro,Quando in bologna un fabbro si ralligna
"E a faenza un bernardino di fosco, nobile rampollo di umili origini","Quando in faenza un bernardin di fosco, verga gentil di picciola gramigna"
"Non stupirti, toscano, se io piango quando rammento guido da prata, ugolino d'azzo che visse insieme a noi,federigo tignoso e la sua brigata, la famiglia dei traversari e degli anastagi,le dame e i cavalieri, le fatiche militari e i piaceri signorili che amore e cortesia ci inducevano a perseguire, mentre ora là i cuori sono malvagi","Non ti maravigliar s’io piango, tosco, quando rimembro con guido da prata, ugolin d’azzo che vivette nosco, federigo tignoso e sua brigata, la casa traversara e li anastagi (e l’una gente e l’altra è diretata), le donne e ‘ cavalier, li affanni e li agi che ne ‘nvogliava amore e cortesia là dove i cuor son fatti sì malvagi"
"O bertinoro, perché non fuggi via ora che se ne è andata la tua casata insieme a molta gente, per non essere malvagia","O bretinoro, ché non fuggi via, poi che gita se n’è la tua famiglia e molta gente per non esser ria"
Fa bene bagnacavallo a non lasciare eredi,"Ben fa bagnacaval, che non rifiglia"
"Mentre fa male castrocaro e peggio ancora conio, che continuano a generare conti così sciagurati","E mal fa castrocaro, e peggio conio, che di figliar tai conti più s’impiglia"
"Faranno bene i pagani, dopo che il loro demonio se ne andrà","Ben faranno i pagan, da che ‘l demonio lor sen girà"
Ma non al punto che il ricordo di lui non si conservi,Ma non però che puro già mai rimagna d’essi testimonio
"O ugolino dei fantolini, il tuo nome è sicuro dal momento che, non avendo eredi degeneri, non teme di diventare oscuro","O ugolin de’ fantolin, sicuro è il nome tuo, da che più non s’aspetta chi far lo possa, tralignando, scuro"
"Ma ora va' via, toscano","Ma va via, tosco, omai"
"Perché ho troppa voglia di piangere anziché di parlare, a tal punto nostro discorso mi ha afflitto","Ch’or mi diletta troppo di pianger più che di parlare, sì m’ha nostra ragion la mente stretta"
Noi sapevamo che quelle anime fortunate ci sentivano andar via,Noi sapavam che quell’anime care ci sentivano andar
"Perciò, tacendo, ci facevano confidare nel nostro cammino","Però, tacendo, facean noi del cammin confidare"
"Dopo che, procedendo, rimanemmo soli, ci venne incontro una voce che sembrò il fulmine quando fende l'aria, dicendo: 'chiunque mi incontrerà, mi ucciderà'","Poi fummo fatti soli procedendo, folgore parve quando l’aere fende, voce che giunse di contra dicendo: ‘anciderammi qualunque m’apprende’"
"E se ne andò come il tuono che svanisce, se squarcia subito la nube","E fuggì come tuon che si dilegua, se sùbito la nuvola scoscende"
"Non appena non la sentimmo più, ecco un'altra voce che fece un gran fracasso, come un tuono che ne segue un altro:","Come da lei l’udir nostro ebbe triegua, ed ecco l’altra con sì gran fracasso, che somigliò tonar che tosto segua:"
Io sono aglauro che divenni sasso,Io sono aglauro che divenni sasso
"Allora, per accostarmi al poeta, procedetti verso destra e non di fronte","E allor, per ristrignermi al poeta, in destro feci e non innanzi il passo"
L'aria era tornata silenziosa,Già era l’aura d’ogne parte queta
Ed egli mi disse:,Ed el mi disse:
Quello fu il duro freno che dovrebbe tenere l'uomo entro i suoi limiti,Quel fu ‘l duro camo che dovria l’uom tener dentro a sua meta
"Ma voi abboccate all'esca, così che l'amo del demonio vi attira a sé","Ma voi prendete l’esca, sì che l’amo de l’antico avversaro a sé vi tira"
E dunque servono a poco il freno o il richiamo,E però poco val freno o richiamo
"Il cielo vi chiama e vi gira attorno, mostrandovi le sue eterne attrattive, e il vostro sguardo è sempre rivolto a terra","Chiamavi ‘l cielo e ‘ntorno vi si gira, mostrandovi le sue bellezze etterne, e l’occhio vostro pur a terra mira"
Per questo chi vede tutto vi castiga,Onde vi batte chi tutto discerne
"Quanto è lo spazio percorso dal sole, simile a un fanciullo che gioca, dall'inizio del giorno sino alla fine dell'ora terza, altrettanto doveva ancora percorrere fino all'inizio della sera","Quanto tra l’ultimar de l’ora terza e ‘l principio del dì par de la spera che sempre a guisa di fanciullo scherza, tanto pareva già inver’ la sera essere al sol del suo corso rimaso"
"In purgatorio era il vespro, mentre in italia era mezzanotte","Vespero là, e qui mezza notte era"
"E i raggi solari ci colpivano in pieno viso, poiché noi giravamo intorno al monte e procedevamo dritti verso occidente, quando io mi sentii abbagliare da un fulgore molto più intenso di prima ed ero stupito da quel fenomeno che non mi spiegavo","E i raggi ne ferien per mezzo ‘l naso, perché per noi girato era sì ‘l monte, che già dritti andavamo inver’ l’occaso, quand’io senti’ a me gravar la fronte a lo splendore assai più che di prima, e stupor m’eran le cose non conte"
"Allora sollevai le mani sopra le mie ciglia, proteggendo gli occhi dalla luce eccessiva rispetto alle capacità della mia vista","Ond’io levai le mani inver’ la cima de le mie ciglia, e fecimi ‘l solecchio, che del soverchio visibile lima"
"Come quando il raggio luminoso viene riflesso dall'acqua o da uno specchio, così che il raggio che sale forma un angolo identico a quello del raggio che scende rispetto alla verticale al piano, conformemente a quanto l'esperienza e la scienza dimostrano","Come quando da l’acqua o da lo specchio salta lo raggio a l’opposita parte, salendo su per lo modo parecchio a quel che scende, e tanto si diparte dal cader de la pietra in igual tratta, sì come mostra esperienza e arte"
Così mi sembrò di essere colpito in quel punto da una luce riflessa,Così mi parve da luce rifratta quivi dinanzi a me esser percosso
Cosa che mi spinse a distogliere in fretta lo sguardo,Per che a fuggir la mia vista fu ratta
Io dissi:,Diss’io:
"Che cos'è quello, dolce padre, davanti al quale non posso proteggere la vista senza essere abbagliato","Che è quel, dolce padre, a che non posso schermar lo viso tanto che mi vaglia"
E che sembra muovere verso di noi,E pare inver’ noi esser mosso
Mi rispose:,A me rispuose:
Non stupirti se gli angeli ti abbagliano ancora,Non ti maravigliar s’ancor t’abbaglia la famiglia del cielo
Quello è un messo celeste che viene a invitarci a salire,Messo è che viene ad invitar ch’om saglia
"Ben presto vedere certe cose non solo non ti darà fastidio, ma ti procurerà gioia per quanto la natura ti ha disposto a ciò","Tosto sarà ch’a veder queste cose non ti fia grave, ma fieti diletto quanto natura a sentir ti dispuose"
"Dopo che raggiungemmo l'angelo benedetto, egli disse con voce lieta:","Poi giunti fummo a l’angel benedetto, con lieta voce disse:"
"Accedete qui ad una scala, meno ripida delle altre",Intrate quinci ad un scaleo vie men che li altri eretto
"Noi salivamo, ormai allontanatici da quel punto, e dietro di noi fu cantato 'beati i misericordiosi', e 'godi tu che vinci'","Noi montavam, già partiti di linci, e 'beati misericordes' fue cantato retro, e 'godi tu che vinci'"
"Il mio maestro e io, soli, salivamo entrambi",Lo mio maestro e io soli amendue suso andavamo
"E io pensai, mentre salivo, di acquistare vantaggio grazie alle sue parole","E io pensai, andando, prode acquistar ne le parole sue"
E mi rivolsi a lui domandandogli così:,E dirizza’mi a lui sì dimandando:
Cosa volle dire lo spirito di romagna parlando di 'esclusione' e di 'compagni',"Che volse dir lo spirto di romagna, e ‘divieto’ e ‘consorte’ menzionando"
Allora mi rispose:,Per ch’elli a me:
Egli conosce il danno del suo maggior peccato,Di sua maggior magagna conosce il danno
"Dunque non ci si deve stupire se lo rimprovera, perché non se ne debba provare dolore",E però non s’ammiri se ne riprende perché men si piagna
"L'invidia spinge a sospirare perché i vostri desideri si concentrano su quei beni il cui possesso diminuisce, quanti più sono coloro che li possiedono","Perché s’appuntano i vostri disiri dove per compagnia parte si scema, invidia move il mantaco a’ sospiri"
"Ma se l'amore dell'empireo indirizzasse il vostro desiderio verso l'alto, il petto non avrebbe quel timore","Ma se l’amor de la spera supprema torcesse in suso il disiderio vostro, non vi sarebbe al petto quella tema"
"Infatti in cielo, quanto più numerosi sono coloro che godono di un bene, tanto maggiore è il bene posseduto, e più carità arde in quel sacro luogo","Ché, per quanti si dice più lì ‘nostro’, tanto possiede più di ben ciascuno, e più di caritate arde in quel chiostro"
Io dissi:,Diss’io:
"Sono più lontano dall'essere soddisfatto che se non ti avessi chiesto nulla, e nella mia mente nutro ancora più dubbi","Io son d’esser contento più digiuno che se mi fosse pria taciuto, e più di dubbio ne la mente aduno"
"Come può essere che un bene, distribuito fra più possessori, renda quelli più ricchi di sé che se fosse goduto da pochi","Com’esser puote ch’un ben, distributo in più posseditor, faccia più ricchi di sé, che se da pochi è posseduto"
Lui a me:,Ed elli a me:
"Poiché tu pensi solo ai beni terreni, ricavi delle tenebre dalla vera luce","Però che tu rificchi la mente pur a le cose terrene, di vera luce tenebre dispicchi"
"Quel bene infinito e inesprimibile che è lassù in cielo, corre all'amore proprio come il raggio luminoso va verso un corpo lucido","Quello infinito e ineffabil bene che là sù è, così corre ad amore com’a lucido corpo raggio vene"
"Si concede tanto più, quanto più trova l'ardore di carità cosicché, quanto si estende la carità di ognuno, tanto più aumenta in lui l'eterno bene","Tanto si dà quanto trova d’ardore sì che, quantunque carità si stende, cresce sovr’essa l’etterno valore"
"E quanta più gente lassù si ama, tanto più bene vi è da amare e  tanto più si ama, e l'amore si riflette dall'uno all'altro come la luce da uno specchio","E quanta gente più là sù s’intende, più v’è da bene amare, e più vi s’ama, e come specchio l’uno a l’altro rende"
"E se il mio ragionamento non ti appaga, tu vedrai beatrice e lei ti soddisferà pienamente questo e altri desideri","E se la mia ragion non ti disfama, vedrai beatrice, ed ella pienamente ti torrà questa e ciascun’altra brama"
"Affrettati allora a cancellare le altre cinque p come lo sono già le prime due, che scompaiono grazie al tuo pentimento","Procaccia pur che tosto sieno spente, come son già le due, le cinque piaghe, che si richiudon per esser dolente"
"Mentre volevo dire 'sono soddisfatto', mi vidi giunto nell'altra cornice, così che i miei occhi desiderosi mi fecero tacere","Com’io voleva dicer 'tu m’appaghe', vidimi giunto in su l’altro girone, sì che tacer mi fer le luci vaghe"
"Lì mi sembrò di essere rapito in una visione estatica, e di vedere in un tempio molte persone","Ivi mi parve in una visione estatica di sùbito esser tratto, e vedere in un tempio più persone"
"E vedevo una donna, sulla porta, che diceva con l'atteggiamento dolce di una madre:","E una donna, in su l’entrar, con atto dolce di madre dicer:"
"Figliolo mio, perché ti sei comportato così verso di noi",Figliuol mio perché hai tu così verso noi fatto
"Ecco, io e tuo padre ti cercavamo addolorati","Ecco, dolenti, lo tuo padre e io ti cercavamo"
"E non appena tacque, svanì il contenuto di quella visione","E come qui si tacque, ciò che pareva prima, dispario"
"Poi mi apparve un'altra donna, col volto rigato da lacrime causate dal dolore generato da una grande rabbia verso qualcuno, che diceva:","Indi m’apparve un’altra con quell’acque giù per le gote che ‘l dolor distilla quando di gran dispetto in altrui nacque, e dir:"
